Date,Year,Population,Temperature,CPI,GDP,Peak
2002-02,-1.0,-0.21467943255004585,-0.14371617421080174,-0.9835944551032774,-0.9584284634465683,-0.9199751440515196
2002-03,-1.0,-0.22889469103568771,-0.12026458073329493,-0.9835944551032774,-0.9584284634465683,-0.7816291944413061
2002-04,-1.0,-0.24310994952132603,-0.09681298725578458,-0.9835944551032774,-0.9999999999999998,-0.7595074002937523
2002-05,-1.0,-0.25732521148825427,-0.07336139377827777,-0.9917972273055553,-0.9999999999999998,-0.8033442548864533
2002-06,-1.0,-0.2715404699738926,-0.04990980030077097,-0.9917972273055553,-0.9999999999999998,-0.8187323466274996
2002-07,-1.0,-0.28575572845953445,-0.02645820682326061,-0.9917972273055553,-0.9957098332935792,-0.8330923059541295
2002-08,-1.0,-0.2999709904264627,-0.003006613345750253,-0.9917972273055553,-0.9957098332935792,-0.8463902383911421
2002-09,-1.0,-0.314186248912101,0.02044498013175655,-0.9999999999999996,-0.9957098332935792,-0.8569992091289118
2002-10,-1.0,-0.3284015073977393,0.04389657360926691,-0.9999999999999996,-0.8719670284384904,-0.8373291153541973
2002-11,-1.0,-0.34261676936466756,0.06734816708677371,-0.9999999999999996,-0.8719670284384904,-0.828075923624449
2002-12,-1.0,-0.35683202785030943,0.09079976056428052,-0.9999999999999996,-0.8719670284384904,-0.8444017625127103
2003-01,-0.9000000000000057,-0.17000289991296924,-0.03367408173941655,-0.9015667296353316,-0.8054603774155487,-0.8615975595977856
2003-02,-0.9000000000000057,-0.17812590774586923,-0.028262175552299595,-0.9015667296353316,-0.8054603774155487,-0.7547169811320753
2003-03,-0.9000000000000057,-0.1862489120974793,-0.02285026936518264,-0.9015667296353316,-0.8054603774155487,-0.6983730651903739
2003-04,-0.9000000000000057,-0.19437191644908935,-0.017438363178065686,-0.9015667296353316,-0.8760564207676507,-0.6301095921364817
2003-05,-0.9000000000000057,-0.2024949242819858,-0.012026456990945178,-0.9212533837082653,-0.8760564207676507,-0.5967800248559483
2003-06,-0.9000000000000057,-0.21061792863359585,-0.006614550803828223,-0.9212533837082653,-0.8760564207676507,-0.6818325612925094
2003-07,-0.9000000000000057,-0.21874093298520592,-0.001202644616711268,-0.9212533837082653,-0.8608644612383851,-0.6927691786238843
2003-08,-0.9000000000000057,-0.2268639408181059,0.004209261570405687,-0.9212533837082653,-0.8608644612383851,-0.7002937521184045
2003-09,-0.9000000000000057,-0.23498694516971597,0.009621167757522642,-0.9409400377811994,-0.8608644612383851,-0.7442435882951077
2003-10,-0.9000000000000057,-0.24310994952132603,0.015033073944639597,-0.9409400377811994,-0.7053950558795843,-0.7247316687379954
2003-11,-0.9000000000000057,-0.25123295735422246,0.02044498013175655,-0.9409400377811994,-0.7053950558795843,-0.6817421760253077
2003-12,-0.9000000000000057,-0.2593559617058325,0.025856886318873507,-0.9409400377811994,-0.7053950558795843,-0.7254208564004068
2004-01,-0.8000000000000114,-1.0,-0.07095610454485168,-0.7768845873374746,-0.6643784382738636,-0.7424923737430797
2004-02,-0.8000000000000114,-0.9677980852915589,-0.06674683936650894,-0.7768845873374746,-0.6643784382738636,-0.6475200542311603
2004-03,-0.8000000000000114,-0.9355961705831177,-0.06253758140404386,-0.7768845873374746,-0.6643784382738636,-0.4607050050841712
2004-04,-0.8000000000000114,-0.9033942558746766,-0.058328323441575236,-0.7768845873374746,-0.7438978057328032,-0.4690317478251047
2004-05,-0.8000000000000114,-0.8711923411662355,-0.05411905826323604,-0.809695677130919,-0.7438978057328032,-0.5682973675290928
2004-06,-0.8000000000000114,-0.8389904264577908,-0.04990980030077097,-0.809695677130919,-0.7438978057328032,-0.5956615071743308
2004-07,-0.8000000000000114,-0.8067885117493496,-0.04570054233830234,-0.809695677130919,-0.7419318858597981,-0.6183708055586941
2004-08,-0.8000000000000114,-0.7745865970409049,-0.04149127715996315,-0.809695677130919,-0.7419318858597981,-0.5510450796520168
2004-09,-0.8000000000000114,-0.7423846823324638,-0.03728201919749452,-0.8425067674165314,-0.7419318858597981,-0.5845441193085525
2004-10,-0.8000000000000114,-0.7101827676240227,-0.033072761235029446,-0.8425067674165314,-0.5552587310273407,-0.5755281889052082
2004-11,-0.8000000000000114,-0.6779808529155815,-0.0288634960566867,-0.8425067674165314,-0.5552587310273407,-0.5160094904530563
2004-12,-0.8000000000000114,-0.6457789382071404,-0.024654238094221625,-0.8425067674165314,-0.5552587310273407,-0.6825895379053213
2005-01,-0.700000000000017,-0.3455178416013922,0.26578472728107627,-0.5718152739136944,-0.5756889610218998,-0.5809851994124955
2005-02,-0.700000000000017,-0.3585726718886022,0.2531569461778034,-0.5718152739136944,-0.5756889610218998,-0.5042933001920686
2005-03,-0.700000000000017,-0.37162750217580864,0.24052916507453048,-0.5718152739136944,-0.5756889610218998,-0.35950740029375217
2005-04,-0.700000000000017,-0.3846823324630151,0.2279013839712576,-0.5718152739136944,-0.6475565776608141,-0.32380521974918075
2005-05,-0.700000000000017,-0.39773716275022153,0.2152736028679847,-0.6259535726142613,-0.6475565776608141,-0.3238843068579822
2005-06,-0.700000000000017,-0.4107919930374244,0.20264582176470824,-0.6259535726142613,-0.6475565776608141,-0.47068127895153067
2005-07,-0.700000000000017,-0.42384682332463086,0.19001804066143535,-0.6259535726142613,-0.6362518415351812,-0.5020223703536324
2005-08,-0.700000000000017,-0.4369016536118373,0.17739025955816246,-0.6259535726142613,-0.6362518415351812,-0.4930629307422887
2005-09,-0.700000000000017,-0.44995648389904375,0.16476247845488956,-0.6800918713148283,-0.6362518415351812,-0.522833578126765
2005-10,-0.700000000000017,-0.46301131418625374,0.1521346973516131,-0.6800918713148283,-0.46217312231467833,-0.5247768613715964
2005-11,-0.700000000000017,-0.47606614447345663,0.13950691624834022,-0.6800918713148283,-0.46217312231467833,-0.48707490679019294
2005-12,-0.700000000000017,-0.4891209747606631,0.12687913514506377,-0.6800918713148283,-0.46217312231467833,-0.5596881708281547
2006-01,-0.5999999999999943,-0.21554975456919578,-0.02525555859860873,-0.3847920602208248,-0.4438970389822243,-0.5111625804993785
2006-02,-0.5999999999999943,-0.22744415317667688,-0.018641011402714014,-0.3847920602208248,-0.4438970389822243,-0.41891311716190227
